1 1 0 1 1 0 0 1 0
2 1 0 1 1 0 0 0 1
3 0 1 0 0 1 1 1 0
4 0 0 1 0 0 0 1 0
5 1 0 1 1 0 0 1 1
6 0 1 0 1 0 0 0 0
7 0 1 0 0 1 1 1 0
8 1 0 1 1 0 1 1 0
9 1 0 1 1 0 0 1 0
10 1 1 1 1 1 0 0 0
11 0 1 0 0 1 0 1 0
12 1 1 0 1 0 0 0 1
13 0 0 1 0 0 1 1 0
14 0 1 0 0 1 1 1 0
15 1 0 1 1 0 1 0 0
16 1 0 1 1 0 0 1 0
17 1 0 1 1 0 0 0 1
18 0 1 0 0 1 1 1 0
19 1 0 1 1 0 1 1 0
20 0 1 0 0 0 1 0 0
21 1 0 1 1 0 1 1 0
22 0 1 0 1 0 0 0 0
23 0 1 0 0 1 1 1 0
24 0 0 1 0 0 0 1 0
25 0 1 0 1 0 0 0 0
26 1 0 1 1 0 0 0 1
27 0 1 0 0 0 0 0 0
28 1 0 1 1 0 1 1 0
29 1 0 0 1 0 0 0 0
30 0 1 0 0 1 1 1 0
31 1 0 1 1 0 0 1 0
32 0 1 0 1 0 0 0 0
33 0 0 1 0 0 0 1 0
34 1 0 1 1 0 0 0 1
35 1 0 1 1 0 1 1 0
36 1 0 1 1 0 1 1 0
37 0 1 0 1 0 0 0 0
38 0 1 0 0 0 1 0 0
39 0 0 1 0 0 0 1 0
40 0 1 0 0 1 0 0 0
41 0 1 0 0 1 0 1 0
42 1 0 1 1 0 1 1 0
43 1 0 1 1 0 1 1 0
44 1 0 0 0 1 0 0 0
45 1 0 0 1 0 0 0 1
46 0 1 0 0 1 0 1 0
47 0 1 0 0 0 0 0 0
48 0 1 1 0 0 1 0 0
49 1 1 0 0 0 0 0 0
50 0 1 0 0 1 1 1 0
51 1 0 1 1 0 0 1 0
52 1 0 1 1 0 0 1 0
53 0 0 1 0 0 0 1 0
54 1 0 0 1 0 0 0 1
55 0 1 0 1 0 0 0 0
56 0 0 0 0 1 1 1 0
57 1 0 1 1 0 0 0 1
58 0 1 0 0 1 0 1 0
59 1 0 1 1 0 1 1 0
60 1 0 1 1 0 1 1 0
61 0 0 0 0 0 1 0 0
62 1 0 0 0 0 0 0 0
63 1 0 1 1 0 0 1 1
64 1 0 1 1 0 1 0 0
